elements,seq-stdlib,sequential,pthread,cilk,openmp,pthread-9000
12.0,3.09e-05,2.2499999999999998e-05,2.1000000000000002e-05,2.06e-05,2.7099999999999998e-05,1.9900000000000003e-05
13.0,5.8200000000000005e-05,4.3100000000000004e-05,4.01e-05,4.3899999999999996e-05,4.9e-05,4.29e-05
14.0,0.0001235,9.169999999999999e-05,8.56e-05,9.27e-05,9.49e-05,9.09e-05
15.0,0.0002641,0.00019319999999999998,0.0001826,0.0001936,0.0001923,0.0001937
16.0,0.000558,0.00041549999999999996,0.0002353,0.00041450000000000005,0.00040070000000000004,0.0004122
17.0,0.0011792,0.0008759,0.0004252,0.0005149,0.00042960000000000003,0.0004864
18.0,0.0024855,0.0018164,0.0007455,0.0008165000000000001,0.0007484,0.0007633
19.0,0.0052467,0.0038225000000000004,0.0015506,0.0016711,0.0015341999999999999,0.0014916999999999999
20.0,0.0110656,0.0081371,0.0030686000000000003,0.0030461999999999998,0.0030948,0.0032056000000000003
21.0,0.0232938,0.0169692,0.0062958,0.0062407,0.0064941,0.0065474
22.0,0.049068099999999996,0.0356045,0.0136411,0.013910500000000001,0.0141236,0.014052100000000001
23.0,0.1027585,0.0742737,0.028446199999999998,0.029356900000000002,0.030028700000000002,0.0286748
24.0,0.21460530000000003,0.154444,0.0587467,0.0598506,0.061728000000000005,0.0609008
