,min-N,pthread,cilk,openmp,pthread-9000
0,10.0,0.7357969000000001,0.6006707,0.6266434000000001,0.6448057
1,11.0,0.6975317999999999,0.6000619,0.6338177,0.6333251
2,12.0,0.6618265999999999,0.5996726,0.6239224,0.6289079
3,13.0,0.6523526000000001,0.5996753,0.6315466000000001,0.6230094
4,14.0,0.6317894,0.6001172,0.6214073999999999,0.6192404
5,15.0,0.6259547000000001,0.6064596999999999,0.6233970999999999,0.6153330000000001
6,16.0,0.6227765999999999,0.6014356000000001,0.6206214,0.6136817999999999
7,17.0,0.6246357,0.6128515,0.6222474,0.6139097
8,18.0,0.6241229,0.6056119,0.6222783000000001,0.6178740999999999
9,19.0,0.627378,0.6237346,0.6288159,0.6199104
10,20.0,0.625102,0.6343167000000001,0.6344202999999999,0.6348832000000001
11,21.0,0.6306661,0.6819888,0.6406573,0.6160975
12,22.0,0.6616304000000001,0.6745854,0.6786477000000001,0.6278020999999999
